,mean_abs_shap
wind_solar_fc_PL,7.868675
wind_solar_fc_DE,6.5850744
sched_exch_DE_PL,4.411755
net_pos_PL,4.2294765
spread_DE_PL_lag24,2.8315125
sched_exch_DE_CZ,2.7302194
outage_DE,2.131688
gen_fc_FR,2.1033638
sched_exch_DE_NO_2,1.7659892
wind_solar_fc_FR,1.5589771
outage_PL,1.2080724
gen_fc_PL,1.1829779
spread_DE_PL_lag48,1.0900601
month,0.974041
spread_DE_PL_lag168,0.9243763
sched_exch_DE_NL,0.9166535
net_pos_FR,0.89800006
load_fc_PL,0.8968959
outage_FR,0.895134
sched_exch_DE_SE_4,0.68134856
sched_exch_DE_CH,0.6187174
sched_exch_DE_AT,0.6165549
sched_exch_DE_DK_2,0.5027122
load_fc_FR,0.49251634
sched_exch_DE_DK_1,0.4374395
dayofweek,0.43283036
load_fc_DE,0.40993854
is_holiday_DE,0.35043037
hour,0.3252456
gen_fc_DE,0.28727862
is_holiday_PL,0.25726506
sched_exch_DE_BE,0.24865456
is_weekend,0.16893862
sched_exch_DE_FR,0.020249644
is_holiday_FR,0.0010687249
