,mean_abs_shap
wind_solar_fc_PL,11.688991
wind_solar_fc_DE,11.530124
wind_solar_fc_FR,3.7035995
spread_DE_PL_lag24,3.6192782
outage_DE,2.9013808
load_fc_FR,2.4034665
outage_PL,1.6577506
gen_fc_FR,1.6249181
month,1.4671971
gen_fc_PL,1.2939125
load_fc_DE,1.1850853
spread_DE_PL_lag168,1.1058806
outage_FR,1.0502301
load_fc_PL,1.0069702
spread_DE_PL_lag48,0.9145512
dayofweek,0.6674467
gen_fc_DE,0.58435756
is_holiday_DE,0.5325943
hour,0.42937055
is_holiday_PL,0.4106851
is_weekend,0.25161108
is_holiday_FR,0.0038281775
